Date_time,T_ex,T_in,Power
1391614230,8,23.68628,24.375
1391614591,8,23.56078,24.97767857
1391614954,8,23.56078,23.32589286
1391615317,8,23.62352,22.92410714
1391615672,8,23.62352,23.05803571
1391616447,8,23.62352,22.45535714
1391616808,7,23.62352,21.98660714
1391617172,7,23.62352,22.05357143
1391617534,7,23.62352,21.83035714
1391617896,7,23.62352,21.5625
1391618261,7,23.62352,21.65178571
1391618624,7,23.62352,21.42857143
1391618985,7,23.62352,21.98660714
1391619348,7,23.62352,22.74553571
1391619712,7,23.62352,23.25892857
1391620065,7,23.62352,23.30357143
1391620428,7,23.62352,23.45982143
1391620792,7,23.62352,23.34821429
1391621154,7,23.62352,23.77232143
1391621880,6,23.62352,24.66517857
1391622242,6,23.62352,25.58035714
1391622605,6,23.62352,25.42410714
1391622967,6,23.62352,25.24553571
1391623330,6,23.62352,25.3125
1391623685,6,23.62352,24.97767857
1391624460,6,23.62352,24.21875
1391624822,6,23.62352,24.86607143
1391625184,6,23.62352,24.62053571
1391625549,6,23.62352,24.39732143
1391625911,5,23.62352,24.26339286
1391626274,5,23.62352,24.24107143
1391626636,5,23.62352,24.0625
1391626998,5,23.62352,24.0625
1391627363,5,23.62352,23.63839286
1391627725,5,23.62352,23.79464286
1391628079,5,23.62352,23.61607143
1391628441,6,23.62352,23.61607143
1391628804,6,23.62352,23.61607143
1391629167,6,23.62352,23.37053571
1391629529,6,23.62352,23.23660714
1391629893,6,23.62352,23.68303571
1391630255,6,23.62352,23.57142857
1391630617,6,23.62352,23.50446429
1391630981,6,23.62352,24.15178571
1391631343,6,23.62352,24.30803571
1391631697,6,23.62352,24.21875
1391632473,6,23.62352,24.01785714
1391632836,6,23.62352,22.34375
1391633197,6,23.62352,24.375
1391633560,6,23.62352,25.53571429
1391633923,6,23.62352,25.64732143
1391634286,6,23.62352,15
1391634648,6,23.62352,0
1391635011,6,23.62352,0
1391635375,6,23.62352,0
1391635737,6,23.62352,0
1391636090,6,23.62352,0
1391636454,6,23.62352,0
1391636816,6,23.62352,0
1391637543,6,23.62352,0
1391637904,6,23.62352,0
1391638268,6,23.62352,4.308035714
1391638629,6,23.62352,6.763392857
1391638993,6,23.62352,7.8125
1391639356,6,23.62352,9.933035714
1391639710,6,23.62352,9.799107143
1391640483,6,23.62352,10.29017857
1391640846,6,23.62352,10.73660714
1391641208,6,23.62352,11.02678571
1391641572,6,23.62352,11.02678571
1391641934,6,23.62352,11.02678571
1391642297,6,23.62352,11.00446429
1391642660,6,23.62352,11.29464286
1391643022,6,23.62352,11.16071429
1391643386,6,23.62352,10.82589286
1391643749,6,23.62352,10.40178571
1391644101,6,23.62352,10.66964286
1391644465,6,23.62352,11.85267857
1391644828,6,23.62352,11.80803571
1391645191,6,23.62352,11.96428571
1391645553,6,23.62352,11.65178571
1391645916,6,23.62352,11.33928571
1391646279,5,23.62352,11.33928571
1391646641,5,23.62352,11.18303571
1391647004,5,23.62352,11.89732143
1391647368,5,23.62352,12.58928571
1391647721,5,23.62352,12.70089286
1391648495,5,23.62352,12.96875
1391648859,5,23.62352,13.03571429
1391649219,5,23.62352,12.63392857
1391649583,5,23.62352,12.45535714
1391649946,5,23.62352,12.12053571
1391650309,5,23.62352,11.85267857
1391650671,5,23.62352,11.83035714
1391651033,5,23.62352,11.40625
1391651397,5,23.62352,11.38392857
1391651760,5,23.62352,12.07589286
1391652113,5,23.62352,12.63392857
1391652476,5,23.62352,12.5
1391652839,5,23.62352,12.61160714
1391653202,5,23.62352,12.34375
1391653566,5,23.62352,11.875
1391653928,5,23.62352,11.74107143
1391654290,5,23.62352,11.74107143
1391654653,5,23.62352,11.74107143
1391655016,5,23.62352,11.875
1391655378,5,23.62352,12.43303571
1391655733,5,23.62352,12.14285714
1391656507,5,23.62352,12.54464286
1391656869,5,23.62352,13.21428571
1391657231,5,23.62352,13.21428571
1391657595,5,23.62352,13.32589286
1391657957,5,23.62352,13.16964286
1391658319,5,23.62352,12.90178571
1391658683,5,23.62352,14.93303571
1391659045,5,23.62352,13.125
1391659409,5,23.62352,13.23660714
1391659771,5,23.62352,35.89285714
1391660125,5,23.62352,35.89285714
1391660486,5,23.62352,34.6875
1391660850,5,23.62352,34.04017857
1391661214,5,23.62352,33.28125
1391661577,5,23.62352,32.25446429
1391661939,5,23.62352,31.74107143
1391662302,5,23.62352,31.25
1391662664,5,23.62352,30.95982143
1391663028,5,23.62352,30.95982143
1391663390,5,23.62352,30.58035714
1391663745,5,23.62352,31.04910714
1391664518,5,23.62352,30.64732143
1391664881,5,23.62352,29.97767857
1391665244,5,23.62352,30.35714286
1391665607,5,23.62352,30.08928571
1391665969,5,23.3098,30
1391666332,5,23.3098,29.46428571
1391666695,5,23.3098,29.21875
1391667057,5,23.3098,29.39732143
1391667420,5,23.02744,29.59821429
1391667783,4,22.77646,29.35267857
1391668136,5,22.77646,29.46428571
1391668500,5,22.77646,30.35714286
1391668863,5,22.77646,29.55357143
1391669226,5,22.77646,29.82142857
1391669588,5,22.77646,29.73214286
1391669950,5,22.6196,29.39732143
1391670675,5,22.6196,29.50892857
1391671039,5,22.6196,29.97767857
1391671402,5,22.6196,29.33035714
1391671756,5,22.6196,29.10714286
1391672531,5,22.6196,30.17857143
1391672892,5,22.7451,28.86160714
1391673255,5,22.99608,29.0625
1391673619,5,22.99608,28.99553571
1391673982,5,23.02746,29.33035714
1391674345,5,23.15294,28.79464286
1391674707,6,23.15294,28.03571429
1391675069,6,23.21568,28.77232143
1391675433,6,23.3098,28.125
1391675796,6,23.3098,28.4375
1391676149,6,23.34116,28.72767857
1391676512,6,23.56078,28.16964286
1391676875,6,23.56078,28.28125
1391677237,6,23.56078,28.4375
1391677600,6,23.71762,28.48214286
1391677964,7,23.71762,28.95089286
1391678326,7,23.78038,28.37053571
1391678688,7,23.90588,28.32589286
1391679052,7,23.90588,27.47767857
1391679415,7,23.93724,28.10267857
1391679767,7,24.09412,27.12053571
1391680542,8,24.1255,26.54017857
1391680904,8,24.21962,25.75892857
