time,rentals
2017-10-27 11:00:00,301
2017-10-27 12:00:00,365
2017-10-27 13:00:00,290
2017-10-27 14:00:00,363
2017-10-27 15:00:00,304
2017-10-27 16:00:00,289
2017-10-27 17:00:00,359
2017-10-27 18:00:00,424
2017-10-27 19:00:00,470
2017-10-27 20:00:00,490
2017-10-27 21:00:00,459
2017-10-27 22:00:00,405
2017-10-27 23:00:00,444
2017-10-28 00:00:00,356
2017-10-28 01:00:00,251
2017-10-28 02:00:00,168
2017-10-28 03:00:00,122
2017-10-28 04:00:00,81
2017-10-28 05:00:00,63
2017-10-28 06:00:00,58
2017-10-28 07:00:00,84
2017-10-28 08:00:00,159
2017-10-28 09:00:00,229
2017-10-28 10:00:00,251
2017-10-28 11:00:00,308
2017-10-28 12:00:00,334
2017-10-28 13:00:00,299
2017-10-28 14:00:00,288
2017-10-28 15:00:00,334
2017-10-28 16:00:00,365
2017-10-28 17:00:00,303
2017-10-28 18:00:00,286
2017-10-28 19:00:00,373
2017-10-28 20:00:00,490
2017-10-28 21:00:00,397
2017-10-28 22:00:00,336
2017-10-28 23:00:00,404
2017-10-29 00:00:00,398
2017-10-29 01:00:00,272
2017-10-29 02:00:00,288
2017-10-29 03:00:00,79
2017-10-29 04:00:00,48
2017-10-29 05:00:00,45
2017-10-29 06:00:00,39
2017-10-29 07:00:00,40
2017-10-29 08:00:00,94
2017-10-29 09:00:00,130
2017-10-29 10:00:00,181
2017-10-29 11:00:00,224
2017-10-29 12:00:00,254
2017-10-29 13:00:00,271
2017-10-29 14:00:00,230
2017-10-29 15:00:00,271
2017-10-29 16:00:00,281
2017-10-29 17:00:00,307
2017-10-29 18:00:00,314
2017-10-29 19:00:00,308
2017-10-29 20:00:00,258
2017-10-29 21:00:00,235
2017-10-29 22:00:00,248
2017-10-29 23:00:00,198
2017-10-30 00:00:00,123
2017-10-30 01:00:00,48
2017-10-30 02:00:00,19
2017-10-30 03:00:00,18
2017-10-30 04:00:00,19
2017-10-30 05:00:00,42
2017-10-30 06:00:00,83
2017-10-30 07:00:00,152
2017-10-30 08:00:00,284
2017-10-30 09:00:00,286
2017-10-30 10:00:00,235
2017-10-30 11:00:00,217
2017-10-30 12:00:00,268
2017-10-30 13:00:00,298
2017-10-30 14:00:00,268
2017-10-30 15:00:00,303
2017-10-30 16:00:00,289
2017-10-30 17:00:00,305
2017-10-30 18:00:00,367
2017-10-30 19:00:00,378
2017-10-30 20:00:00,347
2017-10-30 21:00:00,280
2017-10-30 22:00:00,237
2017-10-30 23:00:00,218
